Num. Cliente,Producto,Punto de venta,Día,Hora,Articulos,Precio,Empresa,Categoria,Historial Crediticio
9876,Fondos de Inversión,NA,06/13/2024,02:48:35,NA,"$7,802.00",Banorte,Sector Financiero,591
8765,Tarjeta de débito,Starbucks 743,06/26/2024,05:52:21,Artículo 18,"$2,606.00",Starbucks,Restaurant,480
5432,Tarjeta de crédito,iShop 261,06/20/2024,10:46:24,Artículo 12,"$1,917.00",iShop,Restaurant,737
6478,Fondos de Inversión,NA,06/08/2024,03:15:36,NA,"$7,082.00",Banorte,Sector Financiero,611
7555,Tarjeta de crédito,El Palacio de Hierro 254,06/08/2024,15:08:57,Artículo 2,"$9,929.00",El Palacio de Hierro,Tecnología,659
5432,Afore,NA,06/24/2024,10:27:09,NA,"$6,860.00",Banorte,Sector Financiero,737
8765,Fondos de Inversión,NA,07/02/2024,11:48:44,NA,"$6,540.00",Banorte,Sector Financiero,480
1234,Tarjeta de débito,Chedraui 910,06/28/2024,12:04:43,Artículo 12,"$3,255.00",Chedraui,Clothing,571
9980,Tarjeta de débito,Cinemex 645,06/30/2024,16:39:15,Artículo 35,"$1,562.00",Cinemex,Entretenimiento,501
2002,Fondos de Inversión,NA,07/02/2024,21:59:50,NA,"$1,571.00",Banorte,Sector Financiero,389
7555,Afore,NA,06/29/2024,09:23:02,NA,"$5,044.00",Banorte,Sector Financiero,659
1001,Tarjeta de crédito,El Palacio de Hierro 502,06/05/2024,19:25:57,Artículo 24,"$4,789.00",El Palacio de Hierro,Retail,736
9980,Tarjeta de crédito,Amazon 190,06/04/2024,10:16:43,Artículo 27,"$8,566.00",Amazon,Comida a domicilio,501
5432,Tarjeta de débito,Sanborns 672,06/16/2024,17:49:31,Artículo 29,"$4,665.00",Sanborns,Retail,737
7555,Tarjeta de débito,Chedraui 994,06/22/2024,04:30:52,Artículo 50,"$8,331.00",Chedraui,Electronics,659
8765,Afore,NA,06/14/2024,12:41:51,NA,"$1,576.00",Banorte,Sector Financiero,480
1001,Tarjeta de crédito,El Palacio de Hierro 120,06/14/2024,09:24:27,Artículo 47,"$2,252.00",El Palacio de Hierro,Alimentos y bebidas,736
9876,Tarjeta de débito,Oxxo 156,06/23/2024,10:35:47,Artículo 28,"$8,123.00",Oxxo,Entretenimiento,591
6478,Tarjeta de crédito,Liverpool 288,06/15/2024,02:36:41,Artículo 41,"$4,477.00",Liverpool,Clothing,611
5432,Afore,NA,06/08/2024,22:07:13,NA,"$6,485.00",Banorte,Sector Financiero,737
9876,Fondos de Inversión,NA,07/03/2024,00:11:25,NA,"$5,998.00",Banorte,Sector Financiero,591
5432,Afore,NA,06/28/2024,17:33:22,NA,"$1,528.00",Banorte,Sector Financiero,737
2002,Tarjeta de débito,Amazon 18,06/10/2024,22:30:34,Artículo 4,"$2,480.00",Amazon,Clothing,389
8765,Fondos de Inversión,NA,06/14/2024,12:45:05,NA,"$6,633.00",Banorte,Sector Financiero,480
1234,Tarjeta de débito,Liverpool 140,06/30/2024,17:27:48,Artículo 15,"$2,186.00",Liverpool,Entretenimiento,571
9876,Tarjeta de crédito,Liverpool 553,06/12/2024,16:45:26,Artículo 1,$146.00,Liverpool,Electronics,591
5432,Fondos de Inversión,NA,06/09/2024,10:26:02,NA,"$1,190.00",Banorte,Sector Financiero,737
1234,Tarjeta de débito,Amazon 134,07/04/2024,21:18:21,Artículo 6,"$5,140.00",Amazon,E-commerce,571
5432,Tarjeta de débito,Soriana 179,07/01/2024,23:36:18,Artículo 24,"$5,285.00",Soriana,Entretenimiento,737
1234,Fondos de Inversión,NA,06/26/2024,07:19:16,NA,"$7,580.00",Banorte,Sector Financiero,571
1001,Fondos de Inversión,NA,06/08/2024,00:53:54,NA,"$9,909.00",Banorte,Sector Financiero,736
8765,Fondos de Inversión,NA,06/16/2024,01:07:52,NA,$835.00,Banorte,Sector Financiero,480
6478,Tarjeta de crédito,Mercado Libre 350,06/08/2024,18:21:03,Artículo 8,"$6,461.00",Mercado Libre,Comida a domicilio,611
9980,Tarjeta de crédito,Amazon 491,06/16/2024,14:26:07,Artículo 41,"$8,346.00",Amazon,Restaurant,501
9980,Fondos de Inversión,NA,06/05/2024,02:42:07,NA,"$5,142.00",Banorte,Sector Financiero,501
9980,Fondos de Inversión,NA,06/07/2024,04:34:50,NA,"$6,355.00",Banorte,Sector Financiero,501
9980,Fondos de Inversión,NA,06/22/2024,00:29:38,NA,"$3,909.00",Banorte,Sector Financiero,501
5432,Fondos de Inversión,NA,06/15/2024,11:30:12,NA,"$5,138.00",Banorte,Sector Financiero,737
1001,Tarjeta de débito,iShop 210,06/25/2024,20:16:23,Artículo 10,"$7,449.00",iShop,E-commerce,736
7555,Fondos de Inversión,NA,06/06/2024,19:44:52,NA,"$7,635.00",Banorte,Sector Financiero,659
2002,Fondos de Inversión,NA,06/07/2024,02:15:46,NA,"$6,191.00",Banorte,Sector Financiero,389
7555,Tarjeta de crédito,Starbucks 427,06/12/2024,22:54:38,Artículo 50,"$4,854.00",Starbucks,Clothing,659
7555,Tarjeta de crédito,Chedraui 878,06/07/2024,21:45:50,Artículo 9,"$9,770.00",Chedraui,Electronics,659
9876,Fondos de Inversión,NA,06/22/2024,08:12:48,NA,"$5,198.00",Banorte,Sector Financiero,591
2002,Afore,NA,06/05/2024,02:15:55,NA,"$6,372.00",Banorte,Sector Financiero,389
5231,Afore,NA,07/03/2024,01:43:06,NA,"$3,520.00",Banorte,Sector Financiero,406
9876,Tarjeta de débito,El Palacio de Hierro 127,07/02/2024,23:21:06,Artículo 38,"$9,568.00",El Palacio de Hierro,Restaurant,591
2002,Afore,NA,06/26/2024,07:44:14,NA,"$1,825.00",Banorte,Sector Financiero,389
2002,Fondos de Inversión,NA,06/04/2024,03:09:05,NA,"$5,265.00",Banorte,Sector Financiero,389
6478,Afore,NA,06/22/2024,12:46:28,NA,"$7,207.00",Banorte,Sector Financiero,611
1001,Tarjeta de crédito,El Palacio de Hierro 946,06/16/2024,01:57:12,Artículo 26,"$6,677.00",El Palacio de Hierro,Restaurant,736
9980,Fondos de Inversión,NA,06/28/2024,14:26:17,NA,$355.00,Banorte,Sector Financiero,501
8765,Tarjeta de crédito,Soriana 463,06/17/2024,16:56:52,Artículo 43,"$1,021.00",Soriana,Electronics,480
9980,Tarjeta de débito,Amazon 29,06/24/2024,19:08:13,Artículo 17,"$5,153.00",Amazon,E-commerce,501
6478,Tarjeta de crédito,Chedraui 497,06/18/2024,00:41:48,Artículo 25,"$5,399.00",Chedraui,Restaurant,611
6478,Fondos de Inversión,NA,06/29/2024,13:54:55,NA,"$9,713.00",Banorte,Sector Financiero,611
1001,Tarjeta de crédito,Mercado Libre 309,06/30/2024,09:13:35,Artículo 33,"$8,462.00",Mercado Libre,Clothing,736
9980,Tarjeta de débito,iShop 91,07/04/2024,23:21:07,Artículo 42,$718.00,iShop,Entretenimiento,501
9980,Afore,NA,06/06/2024,07:06:48,NA,"$4,098.00",Banorte,Sector Financiero,501
1234,Tarjeta de crédito,Walmart 651,07/01/2024,18:08:07,Artículo 14,$547.00,Walmart,Supermercado,571
2002,Tarjeta de débito,Spotify 546,06/24/2024,12:51:35,Artículo 39,"$3,397.00",Spotify,Alimentos y bebidas,389
1234,Tarjeta de crédito,Uber Eats 134,06/08/2024,13:33:50,Artículo 34,"$2,742.00",Uber Eats,Retail,571
9980,Tarjeta de crédito,Oxxo 16,06/19/2024,16:57:15,Artículo 4,"$2,643.00",Oxxo,Restaurant,501
7555,Fondos de Inversión,NA,06/13/2024,12:11:44,NA,"$7,085.00",Banorte,Sector Financiero,659
9876,Tarjeta de crédito,Cinemex 882,06/28/2024,06:21:02,Artículo 5,"$5,760.00",Cinemex,E-commerce,591
5231,Fondos de Inversión,NA,06/06/2024,10:13:37,NA,"$6,751.00",Banorte,Sector Financiero,406
9876,Tarjeta de crédito,Chedraui 650,06/27/2024,17:05:27,Artículo 4,"$5,904.00",Chedraui,E-commerce,591
1234,Tarjeta de crédito,Banorte 20,06/29/2024,06:39:17,Artículo 30,"$9,208.00",Banorte,Clothing,571
1234,Afore,NA,06/14/2024,00:39:56,NA,"$5,223.00",Banorte,Sector Financiero,571
6478,Tarjeta de débito,Soriana 570,06/27/2024,23:37:20,Artículo 40,"$1,052.00",Soriana,Comida a domicilio,611
6478,Tarjeta de crédito,Uber Eats 8,06/11/2024,16:06:45,Artículo 10,"$3,458.00",Uber Eats,Restaurant,611
6478,Tarjeta de crédito,Amazon 449,06/11/2024,19:12:25,Artículo 41,"$3,725.00",Amazon,Entretenimiento,611
9980,Tarjeta de crédito,Amazon 788,06/06/2024,03:14:55,Artículo 23,"$6,227.00",Amazon,Comida a domicilio,501
9876,Fondos de Inversión,NA,06/12/2024,22:31:43,NA,$506.00,Banorte,Sector Financiero,591
1234,Tarjeta de crédito,Walmart 761,06/08/2024,17:13:54,Artículo 13,$727.00,Walmart,Restaurant,571
7555,Tarjeta de crédito,Mercado Libre 606,07/04/2024,16:54:33,Artículo 13,"$4,408.00",Mercado Libre,Retail,659
5432,Fondos de Inversión,NA,06/28/2024,06:13:22,NA,$63.00,Banorte,Sector Financiero,737
7555,Tarjeta de crédito,Mercado Libre 493,06/28/2024,00:38:19,Artículo 49,"$5,042.00",Mercado Libre,Restaurant,659
5432,Fondos de Inversión,NA,06/12/2024,12:13:48,NA,$492.00,Banorte,Sector Financiero,737
5432,Fondos de Inversión,NA,06/27/2024,09:52:44,NA,$802.00,Banorte,Sector Financiero,737
9876,Fondos de Inversión,NA,06/09/2024,04:44:25,NA,"$9,694.00",Banorte,Sector Financiero,591
7555,Afore,NA,06/18/2024,07:53:06,NA,"$9,762.00",Banorte,Sector Financiero,659
6478,Tarjeta de crédito,Liverpool 496,06/27/2024,18:58:57,Artículo 47,"$8,944.00",Liverpool,Electronics,611
5432,Fondos de Inversión,NA,06/11/2024,16:20:14,NA,"$6,067.00",Banorte,Sector Financiero,737
5231,Tarjeta de crédito,Oxxo 250,06/24/2024,07:12:12,Artículo 48,"$5,464.00",Oxxo,Tecnología,406
7555,Tarjeta de débito,Chedraui 79,06/28/2024,09:39:01,Artículo 18,"$6,557.00",Chedraui,Retail,659
1001,Fondos de Inversión,NA,06/23/2024,19:11:29,NA,"$5,911.00",Banorte,Sector Financiero,736
9876,Tarjeta de crédito,Chedraui 303,07/02/2024,02:15:38,Artículo 20,"$8,638.00",Chedraui,Clothing,591
7555,Tarjeta de crédito,Walmart 301,06/26/2024,12:42:21,Artículo 36,"$1,562.00",Walmart,Tecnología,659
1001,Afore,NA,06/08/2024,16:35:40,NA,"$7,430.00",Banorte,Sector Financiero,736
6478,Afore,NA,06/11/2024,17:13:21,NA,"$8,672.00",Banorte,Sector Financiero,611
9876,Tarjeta de crédito,Cinemex 308,06/08/2024,18:27:55,Artículo 11,"$7,263.00",Cinemex,Supermercado,591
1001,Tarjeta de débito,Starbucks 409,06/30/2024,10:17:18,Artículo 38,"$5,597.00",Starbucks,Alimentos y bebidas,736
8765,Fondos de Inversión,NA,07/02/2024,12:13:46,NA,"$6,799.00",Banorte,Sector Financiero,480
5231,Tarjeta de débito,Cinemex 872,06/07/2024,04:40:18,Artículo 23,"$5,186.00",Cinemex,Alimentos y bebidas,406
5432,Tarjeta de débito,El Palacio de Hierro 734,06/20/2024,20:05:21,Artículo 40,"$1,544.00",El Palacio de Hierro,Tecnología,737
7555,Fondos de Inversión,NA,07/02/2024,09:05:10,NA,"$4,940.00",Banorte,Sector Financiero,659
5231,Afore,NA,06/13/2024,09:58:24,NA,"$9,520.00",Banorte,Sector Financiero,406
7555,Fondos de Inversión,NA,06/30/2024,19:06:44,NA,"$3,877.00",Banorte,Sector Financiero,659
1234,Afore,NA,07/02/2024,20:22:56,NA,"$3,420.00",Banorte,Sector Financiero,571
1234,Fondos de Inversión,NA,06/21/2024,18:52:06,NA,"$9,472.00",Banorte,Sector Financiero,571
1001,Fondos de Inversión,NA,06/28/2024,19:57:32,NA,"$6,747.00",Banorte,Sector Financiero,736
7555,Tarjeta de débito,Sanborns 439,06/21/2024,13:03:18,Artículo 43,$908.00,Sanborns,Entretenimiento,659
1234,Tarjeta de crédito,Amazon 451,07/04/2024,19:20:40,Artículo 31,$210.00,Amazon,Supermercado,571
9876,Afore,NA,07/02/2024,23:03:08,NA,"$6,679.00",Banorte,Sector Financiero,591
8765,Fondos de Inversión,NA,07/01/2024,12:54:33,NA,"$2,525.00",Banorte,Sector Financiero,480
8765,Tarjeta de crédito,Banorte 903,06/22/2024,23:25:35,Artículo 32,"$8,027.00",Banorte,Entretenimiento,480
1001,Fondos de Inversión,NA,07/04/2024,05:36:29,NA,"$8,537.00",Banorte,Sector Financiero,736
6478,Fondos de Inversión,NA,06/30/2024,03:54:02,NA,"$9,740.00",Banorte,Sector Financiero,611
9876,Fondos de Inversión,NA,06/25/2024,22:59:31,NA,"$2,869.00",Banorte,Sector Financiero,591
2002,Tarjeta de crédito,iShop 341,06/20/2024,03:11:57,Artículo 23,"$2,550.00",iShop,Alimentos y bebidas,389
1001,Tarjeta de débito,Chedraui 665,06/14/2024,18:53:45,Artículo 33,"$3,334.00",Chedraui,Restaurant,736
5231,Fondos de Inversión,NA,06/22/2024,08:12:02,NA,"$8,623.00",Banorte,Sector Financiero,406
9980,Tarjeta de crédito,Sanborns 30,06/29/2024,00:45:09,Artículo 11,"$1,103.00",Sanborns,Alimentos y bebidas,501
9876,Tarjeta de crédito,Liverpool 509,06/28/2024,06:13:04,Artículo 13,"$2,160.00",Liverpool,Electronics,591
1234,Tarjeta de débito,iShop 709,06/20/2024,14:05:54,Artículo 18,"$3,179.00",iShop,Retail,571
1234,Fondos de Inversión,NA,06/22/2024,18:59:23,NA,$421.00,Banorte,Sector Financiero,571
2002,Tarjeta de crédito,iShop 937,06/20/2024,15:14:55,Artículo 8,"$3,355.00",iShop,E-commerce,389
5432,Fondos de Inversión,NA,06/28/2024,11:19:35,NA,"$8,753.00",Banorte,Sector Financiero,737
8765,Tarjeta de débito,Cinemex 428,06/14/2024,03:10:19,Artículo 7,"$5,503.00",Cinemex,Tecnología,480
7555,Afore,NA,06/20/2024,01:51:02,NA,"$8,215.00",Banorte,Sector Financiero,659
5231,Afore,NA,06/08/2024,08:12:22,NA,"$6,714.00",Banorte,Sector Financiero,406
1234,Fondos de Inversión,NA,06/07/2024,13:22:16,NA,"$1,130.00",Banorte,Sector Financiero,571
2002,Fondos de Inversión,NA,06/04/2024,20:19:40,NA,"$3,486.00",Banorte,Sector Financiero,389
9980,Fondos de Inversión,NA,07/04/2024,23:29:20,NA,"$6,200.00",Banorte,Sector Financiero,501
1001,Afore,NA,06/06/2024,23:10:09,NA,"$5,829.00",Banorte,Sector Financiero,736
5231,Tarjeta de crédito,Uber Eats 281,06/05/2024,07:54:07,Artículo 29,"$3,549.00",Uber Eats,E-commerce,406
1001,Tarjeta de débito,Starbucks 792,06/28/2024,08:11:05,Artículo 44,"$3,361.00",Starbucks,E-commerce,736
1001,Fondos de Inversión,NA,06/21/2024,19:48:23,NA,"$2,377.00",Banorte,Sector Financiero,736
2002,Tarjeta de débito,Liverpool 920,06/12/2024,19:16:39,Artículo 12,"$7,319.00",Liverpool,Alimentos y bebidas,389
1001,Tarjeta de débito,El Palacio de Hierro 909,06/29/2024,10:52:49,Artículo 21,"$8,981.00",El Palacio de Hierro,Alimentos y bebidas,736
1234,Tarjeta de débito,Mercado Libre 193,06/22/2024,08:10:27,Artículo 16,"$3,453.00",Mercado Libre,Restaurant,571
2002,Fondos de Inversión,NA,06/24/2024,21:35:51,NA,"$4,317.00",Banorte,Sector Financiero,389
6478,Fondos de Inversión,NA,06/24/2024,16:49:09,NA,"$9,757.00",Banorte,Sector Financiero,611
9980,Tarjeta de crédito,Walmart 974,06/23/2024,03:27:56,Artículo 39,"$5,142.00",Walmart,Supermercado,501
6478,Fondos de Inversión,NA,06/10/2024,23:23:02,NA,"$1,596.00",Banorte,Sector Financiero,611
2002,Tarjeta de crédito,Cinemex 862,07/01/2024,06:08:09,Artículo 39,"$2,866.00",Cinemex,Restaurant,389
2002,Tarjeta de crédito,Walmart 155,06/30/2024,00:37:10,Artículo 44,"$2,280.00",Walmart,Retail,389
5231,Tarjeta de crédito,El Palacio de Hierro 972,06/09/2024,13:41:26,Artículo 20,"$7,407.00",El Palacio de Hierro,Supermercado,406
1001,Tarjeta de crédito,Sanborns 561,06/23/2024,06:55:28,Artículo 3,"$8,312.00",Sanborns,Retail,736
5231,Afore,NA,06/04/2024,16:48:15,NA,"$3,991.00",Banorte,Sector Financiero,406
2002,Tarjeta de crédito,Uber Eats 373,07/03/2024,09:25:28,Artículo 21,"$5,993.00",Uber Eats,Supermercado,389
1234,Afore,NA,06/26/2024,19:28:42,NA,"$4,630.00",Banorte,Sector Financiero,571
1001,Afore,NA,06/26/2024,12:08:19,NA,"$6,817.00",Banorte,Sector Financiero,736
1001,Afore,NA,06/16/2024,09:27:26,NA,"$4,773.00",Banorte,Sector Financiero,736
1234,Tarjeta de crédito,Amazon 249,06/10/2024,23:44:20,Artículo 27,"$1,896.00",Amazon,Alimentos y bebidas,571
7555,Tarjeta de débito,Cinemex 796,06/08/2024,20:16:46,Artículo 46,"$8,488.00",Cinemex,Clothing,659
7555,Fondos de Inversión,NA,06/29/2024,13:14:04,NA,"$9,282.00",Banorte,Sector Financiero,659
1001,Tarjeta de crédito,Oxxo 356,06/20/2024,07:44:34,Artículo 40,"$6,894.00",Oxxo,Tecnología,736
1001,Fondos de Inversión,NA,06/04/2024,16:06:24,NA,"$5,382.00",Banorte,Sector Financiero,736
1001,Tarjeta de crédito,Uber Eats 808,06/18/2024,15:33:08,Artículo 17,"$7,475.00",Uber Eats,Restaurant,736
9876,Tarjeta de débito,Amazon 35,06/08/2024,23:00:57,Artículo 14,"$1,217.00",Amazon,Tecnología,591
1001,Tarjeta de débito,El Palacio de Hierro 731,06/16/2024,20:44:31,Artículo 19,"$5,618.00",El Palacio de Hierro,E-commerce,736
7555,Fondos de Inversión,NA,06/26/2024,16:34:01,NA,"$7,573.00",Banorte,Sector Financiero,659
9980,Tarjeta de débito,Amazon 83,06/07/2024,00:37:05,Artículo 45,"$4,871.00",Amazon,Restaurant,501
5231,Tarjeta de crédito,Uber Eats 143,06/07/2024,18:52:20,Artículo 34,$303.00,Uber Eats,Electronics,406
5432,Afore,NA,07/02/2024,00:41:15,NA,"$8,822.00",Banorte,Sector Financiero,737
2002,Fondos de Inversión,NA,06/17/2024,18:31:12,NA,$691.00,Banorte,Sector Financiero,389
9980,Fondos de Inversión,NA,06/12/2024,05:34:49,NA,$454.00,Banorte,Sector Financiero,501
7555,Tarjeta de crédito,iShop 503,06/15/2024,04:58:11,Artículo 41,$915.00,iShop,Tecnología,659
9980,Fondos de Inversión,NA,06/07/2024,09:17:07,NA,$31.00,Banorte,Sector Financiero,501
5432,Tarjeta de débito,Chedraui 950,06/30/2024,11:16:28,Artículo 45,"$7,113.00",Chedraui,Supermercado,737
5432,Tarjeta de débito,El Palacio de Hierro 21,06/17/2024,15:13:49,Artículo 9,"$9,662.00",El Palacio de Hierro,Restaurant,737
9876,Tarjeta de crédito,Chedraui 443,06/11/2024,15:17:01,Artículo 32,"$9,043.00",Chedraui,Restaurant,591
8765,Fondos de Inversión,NA,06/29/2024,12:36:48,NA,"$5,320.00",Banorte,Sector Financiero,480
8765,Afore,NA,06/29/2024,21:35:01,NA,"$2,137.00",Banorte,Sector Financiero,480
5432,Tarjeta de débito,Liverpool 998,06/29/2024,19:14:05,Artículo 40,"$3,945.00",Liverpool,Alimentos y bebidas,737
7555,Tarjeta de crédito,Mercado Libre 12,06/21/2024,05:27:03,Artículo 44,"$5,329.00",Mercado Libre,Restaurant,659
9876,Afore,NA,07/04/2024,21:32:06,NA,"$7,372.00",Banorte,Sector Financiero,591
9876,Afore,NA,06/07/2024,02:56:16,NA,"$7,401.00",Banorte,Sector Financiero,591
8765,Tarjeta de débito,iShop 162,06/19/2024,06:46:38,Artículo 1,"$7,047.00",iShop,Electronics,480
5231,Tarjeta de débito,Uber Eats 164,06/07/2024,07:25:11,Artículo 29,"$7,885.00",Uber Eats,Restaurant,406
2002,Fondos de Inversión,NA,06/16/2024,00:34:27,NA,"$2,754.00",Banorte,Sector Financiero,389
6478,Tarjeta de crédito,Cinemex 463,06/30/2024,06:52:57,Artículo 1,"$3,904.00",Cinemex,Clothing,611
8765,Tarjeta de débito,Spotify 631,06/28/2024,01:40:18,Artículo 32,"$2,602.00",Spotify,Supermercado,480
1001,Tarjeta de débito,Starbucks 962,06/21/2024,09:28:03,Artículo 39,"$4,207.00",Starbucks,Alimentos y bebidas,736
9980,Tarjeta de crédito,Soriana 332,06/13/2024,07:43:59,Artículo 47,"$2,290.00",Soriana,Electronics,501
1234,Tarjeta de crédito,Chedraui 926,07/02/2024,08:58:54,Artículo 38,"$8,949.00",Chedraui,Electronics,571
5231,Tarjeta de débito,Oxxo 331,06/08/2024,23:55:05,Artículo 30,"$9,906.00",Oxxo,Tecnología,406
2002,Tarjeta de débito,Banorte 379,06/29/2024,15:38:53,Artículo 10,"$5,536.00",Banorte,Tecnología,389
5231,Tarjeta de crédito,Soriana 652,06/28/2024,05:14:25,Artículo 16,"$9,109.00",Soriana,Entretenimiento,406
5432,Tarjeta de débito,Uber Eats 843,06/26/2024,15:58:14,Artículo 49,"$3,142.00",Uber Eats,Alimentos y bebidas,737
8765,Tarjeta de crédito,Banorte 741,06/14/2024,15:25:42,Artículo 48,"$2,356.00",Banorte,Comida a domicilio,480
5231,Fondos de Inversión,NA,06/24/2024,21:28:07,NA,"$5,017.00",Banorte,Sector Financiero,406
9876,Tarjeta de débito,Amazon 759,06/25/2024,23:19:23,Artículo 27,"$5,530.00",Amazon,Alimentos y bebidas,591
5231,Tarjeta de débito,Banorte 58,06/18/2024,05:37:15,Artículo 46,"$8,175.00",Banorte,Retail,406
7555,Afore,NA,06/20/2024,17:12:44,NA,"$9,681.00",Banorte,Sector Financiero,659
9980,Fondos de Inversión,NA,06/19/2024,05:03:24,NA,"$1,069.00",Banorte,Sector Financiero,501
9980,Fondos de Inversión,NA,06/23/2024,12:25:57,NA,"$2,730.00",Banorte,Sector Financiero,501
1234,Afore,NA,06/25/2024,11:14:45,NA,"$1,982.00",Banorte,Sector Financiero,571
8765,Tarjeta de crédito,Banorte 200,06/15/2024,17:34:16,Artículo 45,"$3,379.00",Banorte,Clothing,480
9876,Afore,NA,06/20/2024,16:12:15,NA,"$6,090.00",Banorte,Sector Financiero,591
5432,Afore,NA,06/15/2024,21:10:31,NA,"$2,300.00",Banorte,Sector Financiero,737
5432,Afore,NA,06/25/2024,05:35:02,NA,"$5,009.00",Banorte,Sector Financiero,737
2002,Afore,NA,06/08/2024,19:02:03,NA,"$4,556.00",Banorte,Sector Financiero,389
5231,Tarjeta de débito,El Palacio de Hierro 99,06/15/2024,03:02:42,Artículo 33,"$4,740.00",El Palacio de Hierro,Comida a domicilio,406
6478,Afore,NA,07/04/2024,07:08:21,NA,"$8,389.00",Banorte,Sector Financiero,611
9876,Fondos de Inversión,NA,06/07/2024,19:00:24,NA,"$6,406.00",Banorte,Sector Financiero,591
7555,Fondos de Inversión,NA,06/08/2024,14:55:36,NA,"$4,380.00",Banorte,Sector Financiero,659
9876,Fondos de Inversión,NA,06/23/2024,18:19:18,NA,"$6,991.00",Banorte,Sector Financiero,591
7555,Afore,NA,06/12/2024,12:07:59,NA,"$5,015.00",Banorte,Sector Financiero,659
6478,Tarjeta de débito,Liverpool 960,06/17/2024,22:29:34,Artículo 22,"$8,200.00",Liverpool,Supermercado,611
7555,Afore,NA,06/27/2024,01:00:50,NA,"$6,519.00",Banorte,Sector Financiero,659
5231,Tarjeta de crédito,Spotify 994,06/26/2024,05:12:38,Artículo 9,"$9,577.00",Spotify,Tecnología,406
9876,Fondos de Inversión,NA,06/04/2024,11:21:43,NA,"$7,616.00",Banorte,Sector Financiero,591
2002,Fondos de Inversión,NA,06/19/2024,23:56:20,NA,"$3,663.00",Banorte,Sector Financiero,389
5432,Afore,NA,06/10/2024,10:44:07,NA,"$1,310.00",Banorte,Sector Financiero,737
8765,Tarjeta de crédito,El Palacio de Hierro 8,06/13/2024,07:12:48,Artículo 29,"$5,286.00",El Palacio de Hierro,E-commerce,480
5231,Tarjeta de débito,Amazon 941,06/16/2024,14:37:04,Artículo 3,"$8,532.00",Amazon,Electronics,406
7555,Fondos de Inversión,NA,06/18/2024,23:00:03,NA,"$8,526.00",Banorte,Sector Financiero,659
2002,Tarjeta de crédito,Mercado Libre 848,06/29/2024,02:48:06,Artículo 47,"$6,561.00",Mercado Libre,Alimentos y bebidas,389
1001,Tarjeta de débito,Banorte 581,07/04/2024,08:39:14,Artículo 44,"$5,277.00",Banorte,Entretenimiento,736
2002,Afore,NA,06/30/2024,05:54:28,NA,"$8,871.00",Banorte,Sector Financiero,389
5432,Fondos de Inversión,NA,06/17/2024,23:33:37,NA,"$9,535.00",Banorte,Sector Financiero,737
5432,Tarjeta de débito,Liverpool 665,06/26/2024,09:08:24,Artículo 18,"$8,263.00",Liverpool,Retail,737
2002,Afore,NA,06/19/2024,16:36:13,NA,"$6,741.00",Banorte,Sector Financiero,389
2002,Afore,NA,07/04/2024,00:52:49,NA,"$6,623.00",Banorte,Sector Financiero,389
8765,Afore,NA,07/04/2024,09:04:51,NA,"$6,695.00",Banorte,Sector Financiero,480
1001,Fondos de Inversión,NA,07/04/2024,18:32:55,NA,"$1,923.00",Banorte,Sector Financiero,736
1234,Tarjeta de débito,Amazon 232,07/01/2024,03:00:32,Artículo 24,$957.00,Amazon,Tecnología,571
7555,Afore,NA,06/24/2024,05:26:14,NA,"$2,851.00",Banorte,Sector Financiero,659
